"Title","Genre","Company","AgeRating","Year","Rating","RatingCount","Director","Writer","Star","Budget","Revenue","RunTime","Country","Profit"
"Underworld","Fantasy","Lakeshore Entertainment","R",2003,7,258000,"Len Wiseman","Kevin Grevioux","Kate Beckinsale",22000000,95708457,121,"United States",73708457
"Diary of a Wimpy Kid: Dog Days","Comedy","Fox 2000 Pictures","PG",2012,6.3,23000,"David Bowers","Maya Forbes","Zachary Gordon",22000000,77112176,94,"United States",55112176
"Jay and Silent Bob Strike Back","Comedy","Dimension Films","R",2001,6.8,150000,"Kevin Smith","Kevin Smith","Jason Mewes",22000000,33788161,104,"United States",11788161
"Hail, Caesar!","Comedy","Universal Pictures","PG-13",2016,6.3,127000,"Ethan Coen","Joel Coen","Josh Brolin",22000000,63647656,106,"United States",41647656
"RoboCop 3","Action","Orion Pictures","PG-13",1993,4.1,47000,"Fred Dekker","Edward Neumeier","Robert John Burke",22000000,10696210,104,"United States",-11303790
"The Transporter Refueled","Thriller","EuropaCorp","PG-13",2015,5.2,40000,"Camille Delamarre","Adam Cooper","Ed Skrein",25000000,72629670,96,"France",47629670
"Out of the Furnace","Thriller","Appian Way","R",2013,6.8,110000,"Scott Cooper","Brad Ingelsby","Christian Bale",22000000,15400000,116,"United Kingdom",-6600000
"Death at a Funeral","Comedy","Sidney Kimmel Entertainment","R",2007,7.4,111000,"Frank Oz","Dean Craig","Matthew Macfadyen",9000000,4.6e+07,90,"United States",3.7e+07
"Hardball","Comedy","Paramount Pictures","R",2001,6.4,29000,"Brian Robbins","Daniel Coyle","Keanu Reeves",32000000,40222729,106,"Germany",8222729
"Silver Linings Playbook","Drama","The Weinstein Company","R",2012,7.7,675000,"David O. Russell","David O. Russell","Bradley Cooper",21000000,205738714,122,"United States",184738714
"Never Back Down","Drama","Summit Entertainment","PG-13",2008,6.6,98000,"Jeff Wadlow","Chris Hauty","Sean Faris",20000000,41627431,115,"United States",21627431
"The Rage: Carrie 2","Horror","United Artists","R",1999,4.7,16000,"Katt Shea","Stephen King","Emily Bergl",21000000,17762705,104,"United States",-3237295
"The Beaver","Drama","Summit Entertainment","PG-13",2011,6.6,48000,"Jodie Foster","Kyle Killen","Mel Gibson",21000000,970816,91,"United States",-20029184
"The Best Little Whorehouse in Texas","Comedy","Universal Pictures","R",1982,6,10000,"Colin Higgins","Larry L. King","Burt Reynolds",35000000,69701637,114,"United States",34701637
"Pulse","Horror","Dimension Films","PG-13",2006,4.8,28000,"Jim Sonzero","Kiyoshi Kurosawa","Kristen Bell",38000000,29907685,90,"United States",-8092315
"Beverly Hills Cop II","Action","Paramount Pictures","R",1987,6.5,111000,"Tony Scott","Danilo Bach","Eddie Murphy",20000000,299965036,100,"United States",279965036
"Wayne's World","Music","Paramount Pictures","PG-13",1992,7,148000,"Penelope Spheeris","Mike Myers","Mike Myers",20000000,121697323,94,"United States",101697323
"The Conjuring","Horror","New Line Cinema","R",2013,7.5,464000,"James Wan","Chad Hayes","Patrick Wilson",13000000,318000141,112,"United States",305000141
"School of Rock","Comedy","Paramount Pictures","PG-13",2003,7.1,283000,"Richard Linklater","Mike White","Jack Black",35000000,131282949,108,"United States",96282949
"Mortal Kombat","Action","New Line Cinema","PG-13",1995,5.8,112000,"Paul W.S. Anderson","Ed Boon","Christopher Lambert",18000000,122195920,101,"United States",104195920
"The Descendants","Comedy","Fox Searchlight Pictures","R",2011,7.3,235000,"Alexander Payne","Alexander Payne","George Clooney",20000000,177243185,115,"United States",157243185
"Drumline","Drama","Fox 2000 Pictures","PG-13",2002,5.9,34000,"Charles Stone III","Shawn Schepps","Nick Cannon",20000000,57588485,118,"United States",37588485
"Bad Moms","Comedy","STX Entertainment","R",2016,6.2,117000,"Jon Lucas","Jon Lucas","Mila Kunis",20000000,183936074,100,"United States",163936074
"Premonition","Thriller","TriStar Pictures","PG-13",2007,5.9,74000,"Mennan Yapo","Bill Kelly","Sandra Bullock",20000000,84146832,96,"United States",64146832
"Orphan","Horror","Dark Castle Entertainment","R",2009,7,199000,"Jaume Collet-Serra","David Leslie Johnson-McGoldrick","Vera Farmiga",20000000,41596251,123,"United States",21596251
"Lakeview Terrace","Drama","Screen Gems","PG-13",2008,6.1,50000,"Neil LaBute","David Loughery","Samuel L. Jackson",20000000,27640028,110,"United States",7640028
"Selena","Drama","Q Productions","PG",1997,6.8,26000,"Gregory Nava","Gregory Nava","Jennifer Lopez",20000000,6e+07,127,"United States",4e+07
"Team America: World Police","Music","Paramount Pictures","R",2004,7.2,162000,"Trey Parker","Trey Parker","Trey Parker",32000000,50907422,98,"United States",18907422
"Milk","History","Focus Features","R",2008,7.5,167000,"Gus Van Sant","Dustin Lance Black","Sean Penn",20000000,54586584,128,"United States",34586584
"Street Kings","Action","Fox Searchlight Pictures","R",2008,6.8,109000,"David Ayer","James Ellroy","Keanu Reeves",20000000,65569869,109,"United States",45569869
"The World's End","Comedy","Universal Pictures","R",2013,7,266000,"Edgar Wright","Simon Pegg","Simon Pegg",20000000,46089287,109,"United Kingdom",26089287
"Daybreakers","Fantasy","Lionsgate","R",2009,6.4,124000,"Michael Spierig","Michael Spierig","Ethan Hawke",20000000,51416464,98,"Australia",31416464
"Nerve","Mystery","Lionsgate","PG-13",2016,6.5,120000,"Henry Joost","Jessica Sharzer","Emma Roberts",20000000,83707310,96,"United States",63707310
"Appaloosa","Drama","New Line Cinema","R",2008,6.7,59000,"Ed Harris","Robert Knott","Ed Harris",20000000,20211394,115,"United States",211394
"My Best Friend's Girl","Romance","Lionsgate","R",2008,5.9,43000,"Howard Deutch","Jordan Cahan","Kate Hudson",20000000,36620508,101,"United States",16620508
"Into the Wild","Adventure","Paramount Vantage","R",2007,8.1,588000,"Sean Penn","Sean Penn","Emile Hirsch",15000000,56255142,148,"United States",41255142
"21 Grams","Drama","This Is That Productions","R",2003,7.6,228000,"Alejandro G. Iñárritu","Guillermo Arriaga","Sean Penn",20000000,60427839,124,"United States",40427839
"A Guy Thing","Comedy","Metro-Goldwyn-Mayer (MGM)","PG-13",2003,5.6,17000,"Chris Koch","Greg Glienna","Jason Lee",20000000,17432163,101,"United States",-2567837
"The Weather Man","Comedy","Paramount Pictures","R",2005,6.5,78000,"Gore Verbinski","Steve Conrad","Nicolas Cage",20000000,12482775,101,"United States",-7517225
"Triple 9","Action","Worldview Entertainment","R",2016,6.3,69000,"John Hillcoat","Matt Cook","Casey Affleck",20000000,12639297,115,"United States",-7360703
"Inherent Vice","Comedy","Ghoulardi Film Company","R",2014,6.7,97000,"Paul Thomas Anderson","Paul Thomas Anderson","Joaquin Phoenix",20000000,11110975,148,"United States",-8889025
"The Cold Light of Day","Action","Summit Entertainment","PG-13",2012,4.9,36000,"Mabrouk El Mechri","Scott Wiper","Henry Cavill",20000000,16863583,93,"United States",-3136417
"Equilibrium","Action","Dimension Films","R",2002,7.4,316000,"Kurt Wimmer","Kurt Wimmer","Christian Bale",20000000,5359645,107,"United States",-14640355
"Dances with Wolves","Adventure","Tig Productions","PG-13",1990,8,247000,"Kevin Costner","Michael Blake","Kevin Costner",22000000,424208848,181,"United States",402208848
"Bad Teacher","Comedy","Columbia Pictures","R",2011,5.6,196000,"Jake Kasdan","Gene Stupnitsky","Cameron Diaz",20000000,216197492,92,"United States",196197492
"Back to the Future","Adventure","Universal Pictures","PG",1985,8.5,1100000,"Robert Zemeckis","Robert Zemeckis","Michael J. Fox",19000000,381109762,116,"United States",362109762
"House on Haunted Hill","Horror","Dark Castle Entertainment","R",1999,5.6,54000,"William Malone","Robb White","Geoffrey Rush",19000000,40846082,93,"United States",21846082
"The Switch","Comedy","Mandate Pictures","PG-13",2010,6.1,1e+05,"Josh Gordon","Jeffrey Eugenides","Jennifer Aniston",19000000,49830607,101,"United States",30830607
"The Bounty","Action","Dino De Laurentiis Company","PG",1984,7,25000,"Roger Donaldson","Robert Bolt","Mel Gibson",25000000,8613462,132,"United Kingdom",-16386538
"Leap Year","Romance","Universal Pictures","PG",2010,6.5,99000,"Anand Tucker","Deborah Kaplan","Amy Adams",19000000,29922472,100,"United States",10922472
"Adaptation.","Comedy","Beverly Detroit","R",2002,7.7,183000,"Spike Jonze","Susan Orlean","Nicolas Cage",19000000,32801173,114,"United States",13801173
"Land of the Dead","Horror","Universal Pictures","R",2005,6.2,93000,"George A. Romero","George A. Romero","John Leguizamo",15000000,46770602,93,"United States",31770602
"The Mask","Romance","New Line Cinema","PG-13",1994,6.9,357000,"Chuck Russell","Michael Fallon","Jim Carrey",23000000,351583407,101,"United States",328583407
"Star Trek III: The Search for Spock","Science Fiction","Paramount Pictures","PG",1984,6.7,76000,"Leonard Nimoy","Gene Roddenberry","William Shatner",18000000,8.7e+07,105,"United States",6.9e+07
"Deuce Bigalow: Male Gigolo","Comedy","Happy Madison Productions","R",1999,5.7,72000,"Mike Mitchell","Harris Goldberg","Rob Schneider",17000000,65535067,88,"United States",48535067
"Left Behind","Thriller","Stoney Lake Entertainment","PG-13",2014,3.1,38000,"Vic Armstrong","Paul Lalonde","Nicolas Cage",16000000,19682924,110,"United States",3682924
"Bad Santa","Drama","Columbia Pictures","R",2003,7,137000,"Terry Zwigoff","Glenn Ficarra","Billy Bob Thornton",23000000,76488889,91,"Germany",53488889
"Diary of a Wimpy Kid: Rodrick Rules","Family","Fox 2000 Pictures","PG",2011,6.5,28000,"David Bowers","Gabe Sachs","Zachary Gordon",21000000,72417394,99,"United States",51417394
"Mean Girls","Comedy","Paramount Pictures","PG-13",2004,7,347000,"Mark Waters","Rosalind Wiseman","Lindsay Lohan",17000000,129042871,97,"United States",112042871
"Gosford Park","Drama","USA Films","R",2001,7.2,82000,"Robert Altman","Julian Fellowes","Maggie Smith",19800000,87754044,137,"United States",67954044
"United 93","Drama","Universal Pictures","R",2006,7.6,1e+05,"Paul Greengrass","Paul Greengrass","David Alan Basche",15000000,76286096,111,"United States",61286096
"Honey","Romance","Universal Pictures","PG-13",2003,5.4,44000,"Bille Woodruff","Alonzo Brown","Jessica Alba",18000000,62646763,94,"United States",44646763
"The Fog","Horror","AVCO Embassy Pictures","R",1980,6.8,66000,"John Carpenter","John Carpenter","Adrienne Barbeau",1000000,21378361,89,"United States",20378361
"Love Happens","Drama","Universal Pictures","PG-13",2009,5.7,32000,"Brandon Camp","Brandon Camp","Jennifer Aniston",18000000,36133014,109,"United States",18133014
"127 Hours","Adventure","Fox Searchlight Pictures","R",2010,7.5,356000,"Danny Boyle","Danny Boyle","James Franco",18000000,35692920,94,"United States",17692920
"Center Stage","Drama","Columbia Pictures","PG-13",2000,6.7,19000,"Nicholas Hytner","Carol Heikkinen","Amanda Schull",18000000,17200925,115,"United States",-799075
"Catch That Kid","Family","Fox 2000 Pictures","PG",2004,5.2,9800,"Bart Freundlich","Nikolaj Arcel","Kristen Stewart",18000000,16702864,92,"United States",-1297136
"Steve Jobs","Drama","Universal Pictures","R",2015,7.2,160000,"Danny Boyle","Aaron Sorkin","Michael Fassbender",30000000,34441873,122,"United Kingdom",4441873
"The Tailor of Panama","Drama","Columbia Pictures","R",2001,6.2,28000,"John Boorman","John le Carré","Pierce Brosnan",21000000,28008462,109,"United States",7008462
"The Ice Storm","Drama","Fox Searchlight Pictures","R",1997,7.4,54000,"Ang Lee","Rick Moody","Kevin Kline",18000000,8038061,112,"United States",-9961939
"Dragonslayer","Fantasy","Paramount Pictures","PG",1981,6.7,16000,"Matthew Robbins","Hal Barwood","Peter MacNicol",18000000,14110013,108,"United Kingdom",-3889987
"Ed Wood","Comedy","Touchstone Pictures","R",1994,7.8,168000,"Tim Burton","Rudolph Grey","Johnny Depp",18000000,5887457,127,"United States",-12112543
"Midnight Special","Adventure","Warner Bros.","PG-13",2016,6.6,77000,"Jeff Nichols","Jeff Nichols","Michael Shannon",18000000,6212282,112,"United States",-11787718
"The Wraith","Romance","New Century Entertainment Corporation","PG-13",1986,6,15000,"Mike Marvin","Mike Marvin","Charlie Sheen",2700000,3500000,93,"United States",8e+05
"The Informers","Drama","Senator Entertainment Co","R",2008,5,16000,"Gregor Jordan","Bret Easton Ellis","Billy Bob Thornton",18000000,382174,98,"United States",-17617826
"Superbad","Comedy","Columbia Pictures","R",2007,7.6,535000,"Greg Mottola","Seth Rogen","Michael Cera",20000000,121463226,113,"United States",101463226
"Sideways","Comedy","Fox Searchlight Pictures","R",2004,7.5,183000,"Alexander Payne","Rex Pickett","Paul Giamatti",16000000,109502303,126,"United States",93502303
"Smokin' Aces","Action","Universal Pictures","R",2006,6.7,140000,"Joe Carnahan","Joe Carnahan","Jeremy Piven",17000000,57103895,109,"United Kingdom",40103895
"Beastly","Drama","CBS Films","PG-13",2011,5.6,76000,"Daniel Barnz","Daniel Barnz","Alex Pettyfer",17000000,43165571,86,"United States",26165571
"Evil Dead","Horror","TriStar Pictures","R",2013,6.5,160000,"Fede Alvarez","Fede Alvarez","Jane Levy",17000000,97542952,91,"United States",80542952
"Superman IV: The Quest for Peace","Action","Cannon Films","PG",1987,3.7,44000,"Sidney J. Furie","Jerry Siegel","Christopher Reeve",17000000,19300000,90,"United Kingdom",2300000
"Southland Tales","Action","Universal Pictures","R",2006,5.4,38000,"Richard Kelly","Richard Kelly","Dwayne Johnson",17000000,374743,144,"France",-16625257
"Dead Poets Society","Drama","Touchstone Pictures","PG",1989,8.1,442000,"Peter Weir","Tom Schulman","Robin Williams",16400000,235860116,129,"United States",219460116
"Dumb and Dumber","Comedy","New Line Cinema","PG-13",1994,7.3,361000,"Peter Farrelly","Peter Farrelly","Jim Carrey",16000000,247275374,107,"United States",231275374
"When Harry Met Sally...","Comedy","Castle Rock Entertainment","R",1989,7.6,201000,"Rob Reiner","Nora Ephron","Billy Crystal",16000000,92823546,96,"United States",76823546
"The Unborn","Horror","Rogue Pictures","PG-13",2009,4.8,50000,"David S. Goyer","David S. Goyer","Odette Annable",16000000,76514050,87,"United States",60514050
"Pan's Labyrinth","Fantasy","Estudios Picasso","R",2006,8.2,631000,"Guillermo del Toro","Guillermo del Toro","Ivana Baquero",19000000,83258226,118,"Spain",64258226
"Baby Boy","Crime","Columbia Pictures","R",2001,6.4,14000,"John Singleton","John Singleton","Alexsandra Wright",16000000,29381649,130,"United States",13381649
"Joe Dirt","Mystery","Columbia Pictures","PG-13",2001,6,53000,"Dennie Gordon","David Spade","David Spade",17700000,30987695,91,"United States",13287695
"Double Impact","Thriller","Stone Group Pictures","R",1991,5.6,39000,"Sheldon Lettich","Sheldon Lettich","Jean-Claude Van Damme",15000000,30102717,110,"United States",15102717
"Hot Fuzz","Crime","Universal Pictures","R",2007,7.8,476000,"Edgar Wright","Edgar Wright","Simon Pegg",12000000,80573774,121,"United Kingdom",68573774
"Vicky Cristina Barcelona","Drama","The Weinstein Company","PG-13",2008,7.1,246000,"Woody Allen","Woody Allen","Rebecca Hall",15000000,96408652,96,"Spain",81408652
"Boys and Girls","Comedy","Punch 21 Productions","PG-13",2000,5.4,16000,"Robert Iscove","Andrew Lowery","Freddie Prinze Jr.",16000000,20627372,94,"United States",4627372
"Drowning Mona","Comedy","Code Entertainment","PG-13",2000,5.7,14000,"Nick Gomez","Peter Steinfeld","Danny DeVito",16000000,15427192,96,"United States",-572808
"Philadelphia","Drama","TriStar Pictures","PG-13",1993,7.7,229000,"Jonathan Demme","Ron Nyswaner","Tom Hanks",26000000,206678440,125,"United States",180678440
"The Thirteenth Floor","Thriller","Columbia Pictures","R",1999,7.1,69000,"Josef Rusnak","Daniel F. Galouye","Craig Bierko",16000000,18564088,100,"United States",2564088
"Detroit Rock City","Comedy","New Line Cinema","R",1999,6.9,36000,"Adam Rifkin","Carl V. Dupré","Edward Furlong",6500000,4217115,95,"United States",-2282885
"Soul Plane","Romance","Metro-Goldwyn-Mayer (MGM)","R",2004,4.5,22000,"Jessy Terrero","Bo Zenga","Dwayne Adway",16000000,14822346,86,"United States",-1177654
"Beverly Hills Cop","Action","Paramount Pictures","R",1984,7.3,171000,"Martin Brest","Daniel Petrie Jr.","Eddie Murphy",15000000,316360478,105,"United States",301360478
"Top Gun","Action","Paramount Pictures","PG",1986,6.9,306000,"Tony Scott","Jim Cash","Tom Cruise",15000000,356830601,110,"United States",341830601
"The King's Speech","Drama","The Weinstein Company","R",2010,8,651000,"Tom Hooper","David Seidler","Colin Firth",15000000,414211549,118,"United Kingdom",399211549
"Twins","Comedy","Universal Pictures","PG",1988,6.1,117000,"Ivan Reitman","William Davies","Arnold Schwarzenegger",15000000,216614388,107,"United States",201614388
"The Color Purple","Drama","Amblin Entertainment","PG-13",1985,7.8,81000,"Steven Spielberg","Menno Meyjes","Danny Glover",15000000,146292009,154,"United States",131292009
"The Imitation Game","History","Black Bear Pictures","PG-13",2014,8,707000,"Morten Tyldum","Graham Moore","Benedict Cumberbatch",14000000,233555708,113,"United Kingdom",219555708
"Coal Miner's Daughter","Drama","Universal Pictures","PG",1980,7.5,17000,"Michael Apted","Thomas Rickman","Sissy Spacek",15000000,67182787,125,"United States",52182787
"Mama","Horror","Universal Pictures","PG-13",2013,6.2,172000,"Andy Muschietti","Andy Muschietti","Jessica Chastain",15000000,146497771,100,"Canada",131497771
"The Lizzie McGuire Movie","Family","Walt Disney Pictures","PG",2003,5.5,37000,"Jim Fall","Susan Estelle Jansen","Hilary Duff",17000000,55534455,94,"United States",38534455
"The Faculty","Horror","Dimension Films","R",1998,6.5,114000,"Robert Rodriguez","David Wechter","Jordana Brewster",15000000,40283321,104,"United States",25283321
"The Skulls","Crime","Universal Pictures","PG-13",2000,5.6,31000,"Rob Cohen","John Pogue","Joshua Jackson",15000000,35007180,106,"United States",20007180
"The Theory of Everything","Drama","Working Title Films","PG-13",2014,7.7,417000,"James Marsh","Anthony McCarten","Eddie Redmayne",15000000,123726688,123,"United Kingdom",108726688
"Halloween II","Horror","Dimension Films","R",2009,4.8,50000,"Rob Zombie","Rob Zombie","Scout Taylor-Compton",15000000,39421467,105,"United States",24421467
"The Last House on the Left","Crime","Rogue Pictures","R",2009,6.5,88000,"Dennis Iliadis","Adam Alleca","Garret Dillahunt",15000000,32721635,110,"United States",17721635
"Halloween: Resurrection","Horror","Dimension Films","R",2002,4,39000,"Rick Rosenthal","Debra Hill","Jamie Lee Curtis",13000000,37664855,94,"United States",24664855
"The Princess Bride","Adventure","Act III Communications","PG",1987,8.1,402000,"Rob Reiner","William Goldman","Cary Elwes",16000000,30857814,98,"United Kingdom",14857814
"Confessions of a Teenage Drama Queen","Comedy","Walt Disney Pictures","PG",2004,4.7,28000,"Sara Sugarman","Dyan Sheldon","Lindsay Lohan",15000000,29331068,89,"Germany",14331068
"Love & Basketball","Action","40 Acres & A Mule Filmworks","PG-13",2000,7.2,20000,"Gina Prince-Bythewood","Gina Prince-Bythewood","Sanaa Lathan",20000000,27728118,124,"United States",7728118
"The Craft","Drama","Columbia Pictures","R",1996,6.4,82000,"Andrew Fleming","Peter Filardi","Robin Tunney",15000000,24769466,101,"United States",9769466
"The Remains of the Day","Drama","Columbia Pictures","PG",1993,7.8,69000,"James Ivory","Kazuo Ishiguro","Anthony Hopkins",11500000,23237911,134,"United States",11737911
"Boogie Nights","Drama","New Line Cinema","R",1997,7.9,246000,"Paul Thomas Anderson","Paul Thomas Anderson","Mark Wahlberg",15000000,43101594,155,"United States",28101594
"The Place Beyond the Pines","Drama","Sidney Kimmel Entertainment","R",2012,7.3,253000,"Derek Cianfrance","Derek Cianfrance","Ryan Gosling",15000000,35485608,140,"United States",20485608
"Killing Them Softly","Crime","Plan B Entertainment","R",2012,6.2,137000,"Andrew Dominik","Andrew Dominik","Brad Pitt",15000000,37930465,97,"United States",22930465
"Highlander: Endgame","Action","Davis-Panzer Productions","R",2000,4.6,20000,"Douglas Aarniokoski","Gregory Widen","Christopher Lambert",25000000,15843608,87,"United Kingdom",-9156392
"The Man with the Iron Fists","Action","Arcade Pictures","R",2012,5.4,61000,"RZA","RZA","Russell Crowe",15000000,15608545,96,"United States",608545
"Raise Your Voice","Music","New Line Cinema","PG",2004,5.9,27000,"Sean McNamara","Mitch Rotter","Hilary Duff",15000000,14867514,103,"United States",-132486
"Black Snake Moan","Drama","Paramount Classics","R",2006,6.9,62000,"Craig Brewer","Craig Brewer","Christina Ricci",15000000,10903846,116,"United States",-4096154
"The Rocker","Comedy","Fox Atomic","PG-13",2008,6.2,37000,"Peter Cattaneo","Maya Forbes","Rainn Wilson",15000000,8762890,102,"United States",-6237110
"Whatever Works","Comedy","Sony Pictures Classics","PG-13",2009,7.1,72000,"Woody Allen","Woody Allen","Evan Rachel Wood",15000000,35097815,92,"United States",20097815
"Funny Games","Horror","Celluloid Dreams","R",2007,6.6,93000,"Michael Haneke","Michael Haneke","Naomi Watts",15000000,7938872,112,"United States",-7061128
"Groundhog Day","Romance","Columbia Pictures","PG",1993,8,589000,"Harold Ramis","Danny Rubin","Bill Murray",14600000,70906973,101,"United States",56306973
"Magic Mike XXL","Comedy","Warner Bros.","R",2015,5.6,53000,"Gregory Jacobs","Reid Carolin","Channing Tatum",14800000,122513057,115,"United States",107713057
"Romeo + Juliet","Drama","Bazmark Films","PG-13",1996,6.7,216000,"Baz Luhrmann","William Shakespeare","Leonardo DiCaprio",14500000,147298761,120,"United States",132798761
"Fatal Attraction","Drama","Paramount Pictures","R",1987,6.9,79000,"Adrian Lyne","James Dearden","Michael Douglas",14000000,320145693,119,"United States",306145693
"Pretty Woman","Romance","Touchstone Pictures","R",1990,7,299000,"Garry Marshall","J.F. Lawton","Richard Gere",14000000,4.63e+08,119,"United States",4.49e+08
"My Bloody Valentine","Mystery","Lionsgate","R",2009,5.4,55000,"Patrick Lussier","Todd Farmer","Jensen Ackles",15000000,100734718,101,"United States",85734718
"Stomp the Yard","Drama","Rainforest Films","PG-13",2007,5.4,22000,"Sylvain White","Robert Adetuyi","Columbus Short",13000000,75511123,114,"United States",62511123
"White Fang","Action","Walt Disney Pictures","PG",1991,6.7,20000,"Randal Kleiser","Jack London","Ethan Hawke",14000000,34793160,107,"United States",20793160
"Poetic Justice","Drama","Columbia Pictures","R",1993,6.1,13000,"John Singleton","John Singleton","Janet Jackson",14000000,27515786,109,"United States",13515786
"All About the Benjamins","Action","New Line Cinema","R",2002,5.9,13000,"Kevin Bray","Ronald Lang","Ice Cube",14000000,25482931,95,"United States",11482931
"Jason X","Horror","New Line Cinema","R",2001,4.4,52000,"James Isaac","Victor Miller","Kane Hodder",11000000,16951798,91,"Canada",5951798
"Fun Size","Comedy","Paramount Pictures","PG-13",2012,5.4,14000,"Josh Schwartz","Max Werner","Victoria Justice",14000000,11417362,87,"United States",-2582638
"Little Children","Romance","New Line Cinema","R",2006,7.5,107000,"Todd Field","Todd Field","Kate Winslet",26000000,14821658,136,"United States",-11178342
"Hot Tub Time Machine 2","Comedy","Paramount Pictures","R",2015,5.1,38000,"Steve Pink","Josh Heald","Rob Corddry",14000000,12314651,93,"United States",-1685349
"Quills","Drama","Fox Searchlight Pictures","R",2000,7.3,52000,"Philip Kaufman","Doug Wright","Geoffrey Rush",13500000,7060876,124,"United Kingdom",-6439124
"Black Swan","Drama","Fox Searchlight Pictures","R",2010,8,716000,"Darren Aronofsky","Mark Heyman","Natalie Portman",13000000,327803731,108,"United States",314803731
"A Nightmare on Elm Street 4: The Dream Master","Horror","New Line Cinema","R",1988,5.7,51000,"Renny Harlin","Wes Craven","Robert Englund",7000000,72500000,99,"United States",65500000
"The Shallows","Horror","Columbia Pictures","PG-13",2016,6.3,124000,"Jaume Collet-Serra","Anthony Jaswinski","Blake Lively",17000000,119100758,86,"United States",102100758
"The Big Hit","Action","TriStar Pictures","R",1998,6.1,29000,"Kirk Wong","Ben Ramsey","Mark Wahlberg",13000000,27007143,91,"United States",14007143
"Child's Play 2","Drama","Universal Pictures","R",1990,5.9,47000,"John Lafia","Don Mancini","Alex Vincent",13000000,35763605,84,"United States",22763605
"Crazy/Beautiful","Drama","Touchstone Pictures","PG-13",2001,6.4,24000,"John Stockwell","Phil Hay","Kirsten Dunst",13000000,16929123,99,"United States",3929123
"Serial Mom","Comedy","Savoy Pictures","R",1994,6.8,28000,"John Waters","John Waters","Kathleen Turner",13000000,7820688,95,"United States",-5179312
"21 & Over","Comedy","Relativity Media","R",2013,5.8,73000,"Jon Lucas","Jon Lucas","Miles Teller",13000000,48065672,93,"United States",35065672
"Chloe","Drama","StudioCanal","R",2009,6.3,71000,"Atom Egoyan","Erin Cressida Wilson","Julianne Moore",15000000,8459458,96,"United States",-6540542
"The Perks of Being a Wallflower","Drama","Summit Entertainment","PG-13",2012,7.9,475000,"Stephen Chbosky","Stephen Chbosky","Logan Lerman",13000000,33400000,102,"United States",20400000
"The Call","Crime","TriStar Pictures","R",2013,6.7,115000,"Brad Anderson","Richard D'Ovidio","Halle Berry",13000000,68572378,94,"United States",55572378
"I Love You Phillip Morris","Comedy","EuropaCorp","R",2009,6.6,93000,"Glenn Ficarra","John Requa","Jim Carrey",13000000,10652035,98,"France",-2347965
"Antwone Fisher","Drama","Fox Searchlight Pictures","PG-13",2002,7.3,34000,"Denzel Washington","Antwone Fisher","Denzel Washington",12500000,23367586,120,"United States",10867586
"Glengarry Glen Ross","Crime","New Line Cinema","R",1992,7.7,98000,"James Foley","David Mamet","Al Pacino",12500000,10725228,100,"United States",-1774772
"The Land Before Time","Animation","Lucasfilm","G",1988,7.4,82000,"Don Bluth","Stu Krieger","Pat Hingle",12300000,84460846,69,"United States",72160846
"American Pie","Comedy","Universal Pictures","R",1999,7,385000,"Paul Weitz","Adam Herz","Jason Biggs",11000000,235483004,95,"United States",224483004
"The Golden Child","Action","Paramount Pictures","PG-13",1986,6,53000,"Michael Ritchie","Dennis Feldman","Eddie Murphy",25000000,79817939,94,"United States",54817939
"Barbershop","Comedy","Metro-Goldwyn-Mayer (MGM)","PG-13",2002,6.3,30000,"Tim Story","Mark Brown","Ice Cube",12000000,75781642,102,"United States",63781642
"Star Trek II: The Wrath of Khan","Action","Paramount Pictures","PG",1982,7.7,115000,"Nicholas Meyer","Gene Roddenberry","William Shatner",12000000,96800000,113,"United States",84800000
"WarGames","Thriller","United Artists","PG",1983,7.1,93000,"John Badham","Lawrence Lasker","Matthew Broderick",12000000,79567667,114,"United States",67567667
"Witness","Crime","Paramount Pictures","R",1985,7.4,89000,"Peter Weir","William Kelley","Harrison Ford",12000000,68706993,113,"United States",56706993
"Act of Valor","Action","Relativity Media","R",2012,6.5,67000,"Mike McCoy","Kurt Johnstad","Alex Veadov",12000000,81272766,110,"United States",69272766
"Step Up","Music","Summit Entertainment","PG-13",2010,6.2,56000,"Jon M. Chu","Amy Andelson","Sharni Vinson",12000000,114194847,104,"United States",102194847
"Harold & Kumar Escape from Guantanamo Bay","Comedy","New Line Cinema","R",2008,6.6,132000,"Jon Hurwitz","Jon Hurwitz","John Cho",12000000,43493123,107,"United States",31493123
"One Hour Photo","Horror","Fox Searchlight Pictures","R",2002,6.8,117000,"Mark Romanek","Mark Romanek","Robin Williams",12000000,52223306,96,"United States",40223306
"Johnson Family Vacation","Comedy","Fox Searchlight Pictures","PG-13",2004,4.5,7400,"Christopher Erskin","Todd R. Jones","Cedric the Entertainer",12000000,31179516,97,"United States",19179516
"The Fault in Our Stars","Romance","Fox 2000 Pictures","PG-13",2014,7.7,352000,"Josh Boone","Scott Neustadter","Shailene Woodley",12000000,307166834,125,"United States",295166834
"Stir of Echoes","Horror","Artisan Entertainment","R",1999,7,77000,"David Koepp","Richard Matheson","Kevin Bacon",12000000,21133087,99,"United States",9133087
"Aquamarine","Fantasy","Fox 2000 Pictures","PG",2006,5.4,39000,"Elizabeth Allen Rosenbaum","John Quaintance","Emma Roberts",12000000,23006849,104,"United States",11006849
